text,lemma,POS,explain,stopword,token
Personally,personally,ADV,adverb,False,[]
reconciles,reconcile,VERB,verb,False,[]
favorite,favorite,ADJ,adjective,False,[]
hobbies,hobby,NOUN,noun,False,[]
bad,bad,ADJ,adjective,False,[]
programming,programming,NOUN,noun,False,[]
cheap,cheap,ADJ,adjective,False,[]
philosophy,philosophy,NOUN,noun,False,[]
headache,headache,NOUN,noun,False,[]
serioulsy,serioulsy,NOUN,noun,False,[]
thoughts,thought,NOUN,noun,False,[]
come,come,VERB,verb,False,[]
practical,practical,ADJ,adjective,False,[]
real,real,ADJ,adjective,False,[]
world,world,NOUN,noun,False,[]
experience,experience,NOUN,noun,False,[]
Let,let,VERB,verb,False,[]
tell,tell,VERB,verb,False,[]
story,story,NOUN,noun,False,[]
long,long,ADJ,adjective,False,[]
long,long,ADJ,adjective,False,[]
aging,age,VERB,verb,False,[]
process,process,NOUN,noun,False,[]
PO,po,NOUN,noun,False,[]
achieved,achieve,VERB,verb,False,[]
build,build,VERB,verb,False,[]
robust,robust,ADJ,adjective,False,[]
testing,testing,NOUN,noun,False,[]
strategy,strategy,NOUN,noun,False,[]
CodeceptJS,CodeceptJS,PROPN,proper noun,False,[]
backoffice,backoffice,NOUN,noun,False,[]
discovered,discover,VERB,verb,False,[]
sequential,sequential,ADJ,adjective,False,[]
execution,execution,NOUN,noun,False,[]
suite,suite,NOUN,noun,False,[]
created,create,VERB,verb,False,[]
bias,bias,NOUN,noun,False,[]
let,let,VERB,verb,False,[]
called,call,VERB,verb,False,[]
errors,error,NOUN,noun,False,[]
OMG,omg,NOUN,noun,False,[]
wondering,wonder,VERB,verb,False,[]
introduce,introduce,VERB,verb,False,[]
randomization,randomization,NOUN,noun,False,[]
inside,inside,ADP,adposition,False,[]
testing,testing,NOUN,noun,False,[]
suite,suite,NOUN,noun,False,[]
execution,execution,NOUN,noun,False,[]
order,order,NOUN,noun,False,[]
reduce,reduce,VERB,verb,False,[]
bias,bias,NOUN,noun,False,[]
maximum,maximum,NOUN,noun,False,[]
purpose,purpose,NOUN,noun,False,[]
avoid,avoid,VERB,verb,False,[]
false,false,ADJ,adjective,False,[]
positive,positive,ADJ,adjective,False,[]
nightmare,nightmare,NOUN,noun,False,[]
completely,completely,ADV,adverb,False,[]
chaotic,chaotic,ADJ,adjective,False,[]
confused,confused,ADJ,adjective,False,[]
disordered,disorder,VERB,verb,False,[]
disorganized,disorganized,ADJ,adjective,False,[]
topsy,topsy,ADJ,adjective,False,[]
turvy,turvy,ADJ,adjective,False,[]
helter,helter,ADJ,adjective,False,[]
skelter,skelter,ADJ,adjective,False,[]
pell,pell,NOUN,noun,False,[]
mell,mell,NOUN,noun,False,[]
upside,upside,NOUN,noun,False,[]
higgledy,higgledy,NOUN,noun,False,[]
piggledy,piggledy,ADJ,adjective,False,[]
hugger,hugger,NOUN,noun,False,[]
mugger,mugger,NOUN,noun,False,[]
scarum,scarum,NOUN,noun,False,[]
snafu,snafu,NOUN,noun,False,[]
slipshod,slipshod,ADJ,adjective,False,[]
unplanned,unplanned,ADJ,adjective,False,[]
erratic,erratic,ADJ,adjective,False,[]
strayed,stray,VERB,verb,False,[]
hit,hit,VERB,verb,False,[]
miss,miss,NOUN,noun,False,[]
incidental,incidental,ADJ,adjective,False,[]
spontaneous,spontaneous,ADJ,adjective,False,[]
uncoordinated,uncoordinated,ADJ,adjective,False,[]
willy,willy,ADV,adverb,False,[]
nilly,nilly,ADV,adverb,False,[]
devil,devil,NOUN,noun,False,[]
care,care,NOUN,noun,False,[]
unpremeditated,unpremeditated,ADJ,adjective,False,[]
reckless,reckless,ADJ,adjective,False,[]
cockeyed,cockeye,VERB,verb,False,[]
hit,hit,VERB,verb,False,[]
miss,miss,NOUN,noun,False,[]
fluky,fluky,ADJ,adjective,False,[]
incidental,incidental,ADJ,adjective,False,[]
anarchic,anarchic,ADJ,adjective,False,[]
way,way,NOUN,noun,False,[]
learning,learn,VERB,verb,False,[]
advanced,advanced,ADJ,adjective,False,[]
Python,Python,PROPN,proper noun,False,[]
techniques,technique,NOUN,noun,False,[]
NLP,NLP,PROPN,proper noun,False,[]
facial,facial,ADJ,adjective,False,[]
recognition,recognition,NOUN,noun,False,[]
fundamentals,fundamental,VERB,verb,False,[]
like,like,ADP,adposition,False,[]
difference,difference,NOUN,noun,False,[]
tuple,tuple,NOUN,noun,False,[]
dictionary,dictionary,ADJ,adjective,False,[]
logic,logic,NOUN,noun,False,[]
Python,Python,PROPN,proper noun,False,[]
popped,pop,VERB,verb,False,[]
mind,mind,NOUN,noun,False,[]
bring,bring,VERB,verb,False,[]
randomness,randomness,NOUN,noun,False,[]
given,give,VERB,verb,False,[]
complexity,complexity,NOUN,noun,False,[]
thing,thing,NOUN,noun,False,[]
Bash,Bash,PROPN,proper noun,False,[]
language,language,NOUN,noun,False,[]
far,far,ADV,adverb,False,[]
mastering,master,VERB,verb,False,[]
Incidentally,incidentally,ADV,adverb,False,[]
experiment,experiment,NOUN,noun,False,[]
proves,prove,VERB,verb,False,[]
Python,Python,PROPN,proper noun,False,[]
Easy,easy,ADJ,adjective,False,[]
read,read,VERB,verb,False,[]
Python,Python,PROPN,proper noun,False,[]
easy,easy,ADJ,adjective,False,[]
read,read,VERB,verb,False,[]
language,language,NOUN,noun,False,[]
makes,make,VERB,verb,False,[]
sense,sense,NOUN,noun,False,[]
glimpse,glimpse,NOUN,noun,False,[]
makes,make,VERB,verb,False,[]
finding,finding,NOUN,noun,False,[]
issues,issue,NOUN,noun,False,[]
lot,lot,NOUN,noun,False,[]
easier,easy,ADJ,adjective,False,[]
complicated,complicated,ADJ,adjective,False,[]
languages,language,NOUN,noun,False,[]
Portability,portability,NOUN,noun,False,[]
Python,Python,PROPN,proper noun,False,[]
runs,run,VERB,verb,False,[]
platforms,platform,NOUN,noun,False,[]
systems,system,NOUN,noun,False,[]
meaning,mean,VERB,verb,False,[]
programs,program,NOUN,noun,False,[]
reach,reach,VERB,verb,False,[]
wider,wide,ADJ,adjective,False,[]
audience,audience,NOUN,noun,False,[]
easily,easily,ADV,adverb,False,[]
replace,replace,VERB,verb,False,[]
Bash,Bash,PROPN,proper noun,False,[]
Ruby,Ruby,PROPN,proper noun,False,[]
instance,instance,NOUN,noun,False,[]
qualities,quality,NOUN,noun,False,[]
gave,give,VERB,verb,False,[]
Python,Python,PROPN,proper noun,False,[]
advantage,advantage,NOUN,noun,False,[]
looking,look,VERB,verb,False,[]
create,create,VERB,verb,False,[]
demand,demand,NOUN,noun,False,[]
order,order,NOUN,noun,False,[]
disorder,disorder,NOUN,noun,False,[]
Order,order,NOUN,noun,False,[]
comes,come,VERB,verb,False,[]
browsing,browse,VERB,verb,False,[]
summarizing,summarize,VERB,verb,False,[]
indexing,index,VERB,verb,False,[]
hundreds,hundred,NOUN,noun,False,[]
texts,text,NOUN,noun,False,[]
order,order,NOUN,noun,False,[]
store,store,VERB,verb,False,[]
database,database,NOUN,noun,False,[]
MySQL,MySQL,PROPN,proper noun,False,[]
NoSQL,NoSQL,PROPN,proper noun,False,[]
Disorder,disorder,NOUN,noun,False,[]
comes,come,VERB,verb,False,[]
run,run,VERB,verb,False,[]
tests,test,NOUN,noun,False,[]
parallel,parallel,NOUN,noun,False,[]
example,example,NOUN,noun,False,[]
overcome,overcome,VERB,verb,False,[]
bias,bias,NOUN,noun,False,[]
linked,link,VERB,verb,False,[]
sequential,sequential,ADJ,adjective,False,[]
execution,execution,NOUN,noun,False,[]
Oddly,oddly,ADV,adverb,False,[]
Disorder,Disorder,PROPN,proper noun,False,[]
proves,prove,VERB,verb,False,[]
efficient,efficient,ADJ,adjective,False,[]
effective,effective,ADJ,adjective,False,[]
Order,order,NOUN,noun,False,[]
post,post,NOUN,noun,False,[]
presents,present,VERB,verb,False,[]
quick,quick,ADJ,adjective,False,[]
researches,research,NOUN,noun,False,[]
handle,handle,VERB,verb,False,[]
random,random,ADJ,adjective,False,[]
Python,Python,PROPN,proper noun,False,[]
Having,have,VERB,verb,False,[]
mind,mind,NOUN,noun,False,[]
final,final,ADJ,adjective,False,[]
objective,objective,NOUN,noun,False,[]
load,load,VERB,verb,False,[]
randomly,randomly,ADJ,adjective,False,[]
testing,testing,NOUN,noun,False,[]
files,file,NOUN,noun,False,[]
achieve,achieve,VERB,verb,False,[]
complete,complete,ADJ,adjective,False,[]
Backoffice,Backoffice,PROPN,proper noun,False,[]
assessment,assessment,NOUN,noun,False,[]
increasing,increase,VERB,verb,False,[]
errors,error,NOUN,noun,False,[]
process,process,NOUN,noun,False,[]
way,way,NOUN,noun,False,[]
reveals,reveal,VERB,verb,False,[]
fourth,fourth,ADJ,adjective,False,[]
Python,Python,PROPN,proper noun,False,[]
qualities,quality,NOUN,noun,False,[]
Increasing,increase,VERB,verb,False,[]
productivity,productivity,NOUN,noun,False,[]
work,work,NOUN,noun,False,[]
accomplish,accomplish,VERB,verb,False,[]
given,give,VERB,verb,False,[]
time,time,NOUN,noun,False,[]
lines,line,NOUN,noun,False,[]
code,code,NOUN,noun,False,[]
Relieving,Relieving,PROPN,proper noun,False,[]
Boring,Boring,PROPN,proper noun,False,[]
Stuff,Stuff,PROPN,proper noun,False,[]
Bullshit,Bullshit,PROPN,proper noun,False,[]
Jobs,job,NOUN,noun,False,[]
Thanks,thank,NOUN,noun,False,[]
Al,Al,PROPN,proper noun,False,[]
Sweigart,Sweigart,PROPN,proper noun,False,[]
David,David,PROPN,proper noun,False,[]
Graeber,Graeber,PROPN,proper noun,False,[]
enabled,enable,VERB,verb,False,[]
create,create,VERB,verb,False,[]
tuna,tuna,NOUN,noun,False,[]
mayo,mayo,NOUN,noun,False,[]
sandwich,sandwich,NOUN,noun,False,[]
concept,concept,NOUN,noun,False,[]
let,let,VERB,verb,False,[]
code,code,NOUN,noun,False,[]
